Unnamed: 0,Date,Symbol,Open,High,Low,Close,Volume,Market Cap,daily_percentage_change,change_type
243,2013-12-27,BTC,763.28,777.51,713.6,735.07,46862700.0,9295570000.0,-3.695891415994121,Down
244,2013-12-28,BTC,737.98,747.06,705.35,727.83,32505800.0,8990850000.0,-1.3753760264505783,Down
245,2013-12-29,BTC,728.05,748.61,714.44,745.05,19011300.0,8872600000.0,2.3350044639791223,Up
246,2013-12-30,BTC,741.35,766.6,740.24,756.13,20707700.0,9037000000.0,1.993660214473592,Up
247,2013-12-31,BTC,760.32,760.58,738.17,754.01,20897300.0,9268240000.0,-0.8299137205387284,Down
248,2014-01-01,BTC,754.97,775.35,754.97,771.4,22489400.0,9203030000.0,2.176245413725042,Up
249,2014-01-02,BTC,773.44,820.31,767.21,802.39,38489500.0,9428180000.0,3.743018204385593,Up
250,2014-01-03,BTC,802.85,834.15,789.12,818.72,37810100.0,9786680000.0,1.9767079778289849,Up
251,2014-01-04,BTC,823.27,859.51,801.67,859.51,38005000.0,10035600000.0,4.401958045355717,Up
252,2014-01-05,BTC,858.55,952.4,854.52,933.53,72898500.0,10465700000.0,8.733329450818243,Up
253,2014-01-06,BTC,936.05,1017.12,905.71,953.29,85565700.0,11410400000.0,1.8417819560920903,Up
254,2014-01-07,BTC,946.49,965.74,802.0,802.0,81311700.0,11571400000.0,-15.265877082695011,Down
255,2014-01-08,BTC,795.99,870.68,776.18,842.72,74175600.0,9734800000.0,5.870676767296073,Up
256,2014-01-09,BTC,841.47,864.36,804.14,846.86,59998600.0,10295100000.0,0.6405457116712403,Up
257,2014-01-10,BTC,846.69,871.19,822.6,868.48,31876800.0,10363300000.0,2.573551122606853,Up
258,2014-01-11,BTC,867.32,921.48,861.72,913.95,44754200.0,10619900000.0,5.376331688419499,Up
259,2014-01-12,BTC,919.6,928.52,851.17,863.22,39623500.0,11264800000.0,-6.1309264897781635,Down
260,2014-01-13,BTC,860.19,861.29,806.05,841.2,45580900.0,10541500000.0,-2.2076517978586137,Down
261,2014-01-14,BTC,843.17,855.69,825.66,833.27,20829800.0,10336500000.0,-1.1741404461733669,Down
262,2014-01-15,BTC,833.12,872.81,830.86,860.9,28107200.0,10216700000.0,3.334453620126749,Up
263,2014-01-16,BTC,860.29,866.16,835.63,835.63,19149300.0,10553800000.0,-2.866475258343113,Down
264,2014-01-17,BTC,834.49,842.91,797.63,814.64,39031700.0,10241200000.0,-2.3786983666670687,Down
265,2014-01-18,BTC,816.07,841.49,816.07,840.0,18052700.0,10018200000.0,2.93234648988444,Up
266,2014-01-19,BTC,839.66,870.96,825.53,870.96,24365700.0,10311500000.0,3.7276993068623097,Up
267,2014-01-20,BTC,871.39,886.39,853.87,870.2,27652700.0,10704800000.0,-0.13656342165964044,Down
268,2014-01-21,BTC,869.65,881.2,855.93,863.91,18997300.0,10687700000.0,-0.6600356465244649,Down
269,2014-01-22,BTC,867.21,870.15,837.36,845.59,18453700.0,10661400000.0,-2.493052432513463,Down
270,2014-01-23,BTC,845.46,851.57,819.32,822.04,15607100.0,10398000000.0,-2.7700896553355654,Down
271,2014-01-24,BTC,822.43,822.43,783.58,797.07,34912000.0,10118400000.0,-3.0835451041425896,Down
272,2014-01-25,BTC,796.24,861.45,792.96,853.61,24303900.0,9799920000.0,7.205114035969055,Up
273,2014-01-26,BTC,853.68,897.02,844.86,885.28,32224300.0,10510400000.0,3.701621216380848,Up
274,2014-01-27,BTC,884.6,893.0,757.11,771.39,49233600.0,10894400000.0,-12.797874745647755,Down
275,2014-01-28,BTC,774.02,832.5,766.98,812.51,44875500.0,9535950000.0,4.972739722487792,Up
276,2014-01-29,BTC,809.96,836.87,809.85,826.0,17984400.0,9981850000.0,1.980344708380656,Up
277,2014-01-30,BTC,826.02,830.5,799.06,819.03,29918200.0,10182900000.0,-0.8462264836202524,Down
278,2014-01-31,BTC,818.43,831.87,812.6,829.92,17107900.0,10092900000.0,1.4039074813973107,Up
279,2014-02-01,BTC,828.61,853.52,827.11,832.58,19668700.0,10222300000.0,0.4791156273759703,Up
280,2014-02-02,BTC,832.9,844.72,820.67,825.37,11300900.0,10279200000.0,-0.9040701164605561,Down
281,2014-02-03,BTC,824.08,826.48,807.22,823.83,13940100.0,10174100000.0,-0.030336860498980676,Down
282,2014-02-04,BTC,823.77,840.17,820.94,827.96,16609700.0,10174000000.0,0.5086371195843566,Up
283,2014-02-05,BTC,829.96,837.32,811.91,811.91,22395100.0,10254100000.0,-2.17480360499302,Down
284,2014-02-06,BTC,815.59,819.81,770.59,781.55,50108700.0,10079900000.0,-4.1736656898686935,Down
285,2014-02-07,BTC,783.2,783.2,654.35,712.4,113643000.0,9683190000.0,-9.039836567926464,Down
286,2014-02-08,BTC,699.57,721.82,661.87,673.92,38742600.0,8651930000.0,-3.6665380162099708,Down
287,2014-02-09,BTC,671.46,712.27,655.25,682.9,39311400.0,8307340000.0,1.703750037232291,Up
288,2014-02-10,BTC,681.32,703.71,550.5,681.03,112758000.0,8431680000.0,-0.04256443374626861,Down
289,2014-02-11,BTC,683.5,712.46,636.66,672.17,72745200.0,8461320000.0,-1.6576444769568457,Down
290,2014-02-12,BTC,672.38,672.9,643.04,651.72,25367600.0,8326420000.0,-3.072667241738298,Down
291,2014-02-13,BTC,651.08,657.99,601.91,605.24,38588100.0,8065550000.0,-7.040609448915652,Down
292,2014-02-14,BTC,601.17,691.72,541.04,661.99,102506000.0,7449940000.0,10.116938636325841,Up
293,2014-02-15,BTC,660.9,661.84,632.84,650.92,26709200.0,8193290000.0,-1.5100620366167377,Down
