YearMonth,Symbol,Total_Trading_Volume
2017-12,$PAC,2356900.0
2018-1,$PAC,1.2132584E8
2018-3,$PAC,1628290.0
2017-8,2GIVE,1294260.0
2017-11,2GIVE,1279830.0
2017-12,2GIVE,6825900.0
2018-1,2GIVE,3540370.0
2017-6,ABY,1471060.0
2017-8,ABY,9193320.0
2017-9,ABY,4290910.0
2017-12,ABY,1.317595E7
2018-1,ABY,2.050347E7
2017-8,ACT,3.048421E7
2017-9,ACT,3.449646E7
2017-12,ACT,5.181027E7
2018-1,ACT,7.5090768E8
2018-2,ACT,2.6365029E8
2018-3,ACT,1.7553877E8
2018-4,ACT,7.6100961E8
2018-5,ACT,1.0450749E9
2018-6,ACT,4.05862E7
2017-10,ADA,3.0408735E8
2017-11,ADA,8.3298552E8
2017-12,ADA,5.3021342E9
2018-1,ADA,1.7091618E10
2018-2,ADA,1.279213E10
2018-3,ADA,4.7038298E9
2018-4,ADA,7.3208765E9
2018-5,ADA,4.809903E9
2018-6,ADA,2.46973E8
2018-1,ADC,4073310.0
2017-8,ADK,2.490059E7
2017-9,ADK,4732470.0
2017-10,ADK,4294770.0
2017-11,ADK,1305050.0
2018-1,ADK,5.864671E7
2018-2,ADK,7.408126E7
2018-5,ADK,2132970.0
2017-9,AEON,4083220.0
2017-10,AEON,1.770277E7
2017-11,AEON,2807520.0
2017-12,AEON,1.034953E7
2018-1,AEON,1.917868E7
2017-10,AKY,1527160.0
2017-6,ANC,2072640.0
2016-10,ARDR,1316410.0
2017-4,ARDR,2280500.0
2017-5,ARDR,5.462703E7
2017-6,ARDR,1.8089819E8
2017-7,ARDR,7.17435E7
2017-8,ARDR,5.910055E7
2017-9,ARDR,4.725086E7
2017-10,ARDR,4.225157E7
2017-11,ARDR,5.328079E7
2017-12,ARDR,6.6988386E8
2018-1,ARDR,1.20881037E9
2018-2,ARDR,4.2274974E8
2018-3,ARDR,1.1454888E8
2018-4,ARDR,2.4355726E8
2018-5,ARDR,9.389231E7
2018-6,ARDR,5395670.0
2017-4,ARK,7212950.0
2017-6,ARK,2.125596E7
2017-7,ARK,1066380.0
2017-8,ARK,1.2949003E8
2017-9,ARK,1.8180662E8
2017-10,ARK,6.53521E7
2017-11,ARK,1.7585523E8
2017-12,ARK,4.7648504E8
2018-1,ARK,5.2909781E8
2018-2,ARK,1.0914341E8
2018-3,ARK,7.015439E7
2018-4,ARK,1.1682415E8
2018-5,ARK,9.170127E7
2018-6,ARK,3343170.0
2018-5,ASN,1272450.0
2017-9,ATB,1229130.0
2017-10,ATB,1.107451E7
2017-11,ATB,3.554632E7
2017-12,ATB,1.0734546E8
2018-1,ATB,1.4927242E8
2018-2,ATB,9.186965E7
2018-3,ATB,7.494451E7
2018-4,ATB,8.440565E7
2018-5,ATB,1172830.0
2017-11,ATMC,4.584272E7
2017-12,ATMC,1.35490346E9
2018-1,ATMC,3.6522066E9
2018-2,ATMC,2.7758648E9
2018-3,ATMC,1.9502667E9
2018-4,ATMC,9.7112049E8
2018-5,ATMC,5.0701829E8
2018-6,ATMC,7.4512E7
2014-3,AUR,8928580.0
2017-12,AUR,1.485842E7
2018-1,AUR,4548370.0
2018-4,AUR,1140510.0
2017-10,B2X,1.324969E7
2017-11,B2X,1.079959E7
2017-12,B2X,5.257807E7
2018-1,B2X,3.128572E7
2017-6,BASH,5.563802E7
2017-6,BAY,2454640.0
2017-8,BAY,1237120.0
2017-9,BAY,1403280.0
2017-11,BAY,7.546799E7
2017-12,BAY,4.2276409E8
2018-1,BAY,3.8099814E8
2018-2,BAY,2.477337E7
2018-3,BAY,2.848108E7
2018-4,BAY,6.647244E7
2018-5,BAY,9384220.0
2017-2,BBR,1930220.0
2017-6,BBR,1118170.0
2018-1,BCA,5158250.0
2017-4,BCC,4077380.0
2017-5,BCC,8407910.0
2017-6,BCC,6.564314E7
2017-7,BCC,9.432758E7
2017-8,BCC,1.9369202E8
2017-9,BCC,2.4977158E8
2017-10,BCC,3.8604895E8
2017-11,BCC,7.025922E8
2017-12,BCC,8.960534E8
2018-1,BCC,4.6617141E8
2018-2,BCC,5672460.0
2017-11,BCD,1.61532E8
2017-12,BCD,3.2257147E8
2018-1,BCD,1.90526239E9
2018-2,BCD,2.4803582E8
2018-3,BCD,2.4750427E8
2018-4,BCD,3.0344524E8
2018-5,BCD,1.3767276E8
2018-6,BCD,4391910.0
2017-7,BCH,4090760.0
2017-8,BCH,1.71207428E10
2017-9,BCH,1.1313133E10
2017-10,BCH,1.0862083E10
2017-11,BCH,6.5023965E10
2017-12,BCH,6.4494638E10
2018-1,BCH,4.2244036E10
2018-2,BCH,1.9146146E10
2018-3,BCH,1.2342156E10
2018-4,BCH,1.990736E10
2018-5,BCH,2.9661601E10
2018-6,BCH,1.227649E9
2017-3,BCN,6708550.0
2017-5,BCN,1.9068467E8
2017-6,BCN,1.1020521E8
2017-7,BCN,3.247444E7
2017-8,BCN,7.8524E7
2017-9,BCN,7.301244E7
2017-10,BCN,5.901952E7
2017-11,BCN,9.26637E7
2017-12,BCN,3.1942694E8
2018-1,BCN,4.5575961E8
2018-2,BCN,1.119584E8
2018-3,BCN,1.0905208E8
2018-4,BCN,1.3426766E8
2018-5,BCN,1.60875739E9
2018-6,BCN,3.69462E7
2018-1,BCO,1282750.0
2017-12,BCX,1.1510492E8
2018-1,BCX,2.5937473E8
2018-2,BCX,3.553079E7
2018-3,BCX,8562660.0
2018-4,BCX,3.631323E7
2018-5,BCX,2.322643E7
2018-6,BCX,2321160.0
2017-9,BDL,2182160.0
2017-12,BDL,2186620.0
2018-1,BIS,1110680.0
2017-5,BITB,1523350.0
2017-6,BITB,7887790.0
2017-8,BITB,1184040.0
2017-10,BITB,1374480.0
2017-11,BITB,4991730.0
2017-12,BITB,7.425366E7
2018-1,BITB,5.887967E7
2018-2,BITB,1.8764795E8
2018-3,BITB,9.494252E7
2018-4,BITB,3.403499E7
2018-5,BITB,2.115621E7
2017-3,BITS,2215930.0
2018-5,BLAZR,1109100.0
2017-6,BLITZ,1777110.0
2017-8,BLITZ,1.00028E7
2017-12,BLITZ,1.623761E7
2018-1,BLITZ,5157000.0
2018-5,BLITZ,1796350.0
2014-3,BLK,1077190.0
2014-4,BLK,2.624855E7
2014-5,BLK,6306000.0
2014-6,BLK,4031540.0
2016-7,BLK,1031420.0
2016-9,BLK,1433510.0
2017-4,BLK,1668890.0
2017-5,BLK,2.222841E7
2017-6,BLK,1.0816537E8
2017-7,BLK,4.386082E7
2017-8,BLK,2.694813E7
2017-9,BLK,6.789127E7
2017-10,BLK,1006870.0
2017-11,BLK,1.321409E7
2017-12,BLK,1.2176602E8
2018-1,BLK,1.5160197E8
2018-2,BLK,1390080.0
2018-3,BLK,2.866199E7
2018-4,BLK,4418100.0
2017-8,BLOCK,6529600.0
2017-9,BLOCK,1390900.0
2017-11,BLOCK,2638700.0
2017-12,BLOCK,9511040.0
2018-1,BLOCK,1.492106E7
2018-2,BLOCK,4817220.0
2018-3,BLOCK,1.131508E7
2018-4,BLOCK,5672070.0
2018-2,BOS,1.855396E7
2018-3,BOS,1085020.0
2018-4,BOS,2791340.0
2017-6,BOST,1481330.0
2017-8,BRK,1105320.0
2017-10,BRK,2412950.0
2017-12,BRK,1.011435E7
2018-1,BRK,1.814562E7
2017-6,BRX,2679490.0
2017-8,BRX,1366360.0
2017-10,BRX,1006530.0
2017-11,BRX,1600370.0
2017-12,BRX,1725520.0
2018-1,BRX,3858560.0
2017-7,BSD,2385070.0
2017-8,BSD,2465580.0
2017-9,BSD,2757210.0
2017-11,BSD,1511510.0
2017-12,BSD,1.967119E7
2018-1,BSD,8.680577E7
2018-2,BSD,4724730.0
2018-3,BSD,4248880.0
2018-4,BSD,2.77625E7
2017-10,BSR,1501800.0
2018-4,BSR,1.19368E7
2017-11,BT2,3.208592E7
2017-12,BT2,2.723179E7
2018-1,BT2,1055440.0
2017-8,BTA,2447510.0
2017-11,BTBc,1.12498E7
2013-12,BTC,1.399848E8
2014-1,BTC,1.1533865E9
2014-2,BTC,1.2696863E9
2014-3,BTC,7.6397933E8
2014-4,BTC,7.8930423E8
2014-5,BTC,5.032991E8
2014-6,BTC,7.2187315E8
2014-7,BTC,4.5072575E8
2014-8,BTC,6.9452449E8
2014-9,BTC,6.9657215E8
2014-10,BTC,9.0299445E8
2014-11,BTC,6.5973336E8
2014-12,BTC,5.5310231E8
2015-1,BTC,1.0988119E9
2015-2,BTC,7.115187E8
2015-3,BTC,9.590983E8
2015-4,BTC,6.723387E8
2015-5,BTC,5.681226E8
2015-6,BTC,6.297802E8
2015-7,BTC,9.998922E8
2015-8,BTC,9.051923E8
2015-9,BTC,6.036239E8
2015-10,BTC,9.532795E8
2015-11,BTC,2.1776234E9
2015-12,BTC,2.09625E9
2016-1,BTC,1.9908803E9
2016-2,BTC,1.8762387E9
2016-3,BTC,2.3328528E9
2016-4,BTC,1.8114752E9
2016-5,BTC,2.2344328E9
2016-6,BTC,4.7497028E9
2016-7,BTC,3.4541862E9
2016-8,BTC,2.6862202E9
2016-9,BTC,2.0044014E9
2016-10,BTC,2.1154438E9
2016-11,BTC,2.6357731E9
2016-12,BTC,3.5567638E9
2017-1,BTC,5.1439717E9
2017-2,BTC,4.2827612E9
2017-3,BTC,1.0872456E10
2017-4,BTC,9.757448E9
2017-5,BTC,3.4261857E10
2017-6,BTC,4.4478141E10
2017-7,BTC,3.2619957E10
2017-8,BTC,6.3548017E10
2017-9,BTC,5.5700949E10
2017-10,BTC,5.8009358E10
2017-11,BTC,1.4073501E11
2017-12,BTC,4.103365E11
2018-1,BTC,4.1624786E11
2018-2,BTC,2.2971778E11
2018-3,BTC,1.9375171E11
2018-4,BTC,1.9655001E11
2018-5,BTC,1.9761171E11
2018-6,BTC,9.86076E9
2017-3,BTCD,1.797719E7
2017-5,BTCD,6190810.0
2017-6,BTCD,1.583156E7
2017-7,BTCD,1.046087E7
2017-8,BTCD,2581230.0
2017-9,BTCD,1.290045E7
2017-12,BTCD,1.051122E7
2018-1,BTCD,4736490.0
2018-4,BTCD,4614180.0
2018-3,BTCP,1210660.0
2018-4,BTCP,1.905201E7
2018-5,BTCP,1.476143E7
2017-10,BTG,1.093372E8
2017-11,BTG,2.88217035E9
2017-12,BTG,6.5440841E9
2018-1,BTG,8.5278049E9
2018-2,BTG,1.4884048E9
2018-3,BTG,7.1807108E8
2018-4,BTG,1.01331234E9
2018-5,BTG,7.093321E8
2018-6,BTG,2.67183E7
2017-5,BTM,7434920.0
2017-6,BTM,1907420.0
2017-8,BTM,5494030.0
2017-9,BTM,1059870.0
2017-12,BTM,2572170.0
2014-8,BTS,1.995399E7
2014-9,BTS,7082570.0
2014-11,BTS,1002300.0
2016-2,BTS,1341430.0
2016-3,BTS,1.775664E7
2016-6,BTS,3972150.0
2016-7,BTS,3818410.0
2016-8,BTS,6668490.0
2017-3,BTS,5414610.0
2017-4,BTS,3.531889E7
2017-5,BTS,4.2943613E8
2017-6,BTS,3.7071671E9
2017-7,BTS,1.9069138E9
2017-8,BTS,1.3391533E9
2017-9,BTS,8.7182568E8
2017-10,BTS,1.8006949E8
2017-11,BTS,3.2728626E8
2017-12,BTS,1.6726158E9
2018-1,BTS,2.0389756E9
2018-2,BTS,7.3577216E8
2018-3,BTS,2.9474811E8
2018-4,BTS,7.968528E8
2018-5,BTS,7.3998227E8
2018-6,BTS,3.47958E7
2018-1,BTW,1924840.0
2017-11,BTX,1.2068882E8
2017-12,BTX,9.289127E7
2018-1,BTX,8.56592E7
2018-2,BTX,4.354626E7
2018-3,BTX,5.994417E7
2018-4,BTX,1.17891E7
2018-5,BTX,1323100.0
2016-9,BURST,3907710.0
2017-5,BURST,8.163454E7
2017-6,BURST,9.445701E7
2017-7,BURST,4506590.0
2017-8,BURST,5960430.0
2017-9,BURST,2.867325E7
2017-12,BURST,2.4811939E8
2018-1,BURST,2.7841884E8
2018-2,BURST,3.56989E7
2018-3,BURST,1.722732E7
2018-4,BURST,1.663646E7
