Symbol,week,total_trading_volume
LTC,53,1.689629E7
BTC,53,3.001304E8
SPHR,52,2.746305E7
BAY,52,9.457773E7
ARDR,52,2.3462E8
ETN,52,4.021245E7
ION,52,8771840.0
ETC,52,1.77814826E9
UNIT,52,2247120.0
BTCD,52,1289870.0
PKB,52,1286660.0
ETH,52,1.767044092E10
LMC,52,2.330564E7
PASC,52,5061640.0
GRS,52,3.496184E7
ATMC,52,6.010645E8
DMD,52,2294180.0
BTG,52,7.734584E8
STRAT,52,3.818112E8
$PAC,52,2356900.0
SPR,52,1.778478E7
ADA,52,1.5989273E9
EXCL,52,2.32235E7
AUR,52,7423480.0
DCR,52,2.844697E7
XWC,52,2.300223E7
ZEC,52,1.02271787E9
BCC,52,3.239029E8
DCT,52,6.645436E7
DYN,52,2.348978E7
COLX,52,1.222864E7
LBC,52,5.237061E7
XP,52,4.193238E7
EMB,52,5046070.0
EMC,52,2.12455E7
SBTC,52,6402730.0
VIA,52,3.100184E7
AEON,52,8004360.0
MIOTA,52,1.466857E9
ARK,52,1.206263E8
SMART,52,3139210.0
RISE,52,1.6604681E8
GXS,52,6.107939E7
NEBL,52,1.302097E7
LTC,52,8.27723841E9
BSD,52,3731390.0
BLOCK,52,6126570.0
NEOS,52,3.536532E7
GCR,52,5582550.0
RVR,52,2.501663E8
XLM,52,1.4324954E9
XSPEC,52,7107100.0
XAS,52,4.042893E7
USNBT,52,5.005851E7
DASH,52,1.38516294E9
KORE,52,8824270.0
BTS,52,4.533288E8
XBC,52,1133990.0
NLG,52,9871400.0
BCX,52,1.912381E7
REC,52,1440090.0
SBD,52,1.295481E7
PHR,52,1194360.0
SIB,52,1.069385E7
BCD,52,7.900071E7
RBY,52,2356480.0
START,52,3333210.0
UBQ,52,3.93694E7
BDL,52,2186620.0
PPC,52,1.692944E7
MEME,52,2.107418E7
OMNI,52,1.939051E7
SYNX,52,1.627006E7
XMY,52,1.103658E7
ECA,52,5069300.0
LINDA,52,1258260.0
INFX,52,1024710.0
SHIFT,52,4.84833E7
XCP,52,7953700.0
DGB,52,4.234693E8
NANO,52,2.201708E8
NXT,52,2.135322E9
BLITZ,52,5096000.0
MUE,52,3.609869E7
BYC,52,5337530.0
EBST,52,5565140.0
XTZ,52,2433070.0
ACT,52,7782090.0
CLOAK,52,3.197043E7
OK,52,4.436806E7
RADS,52,3.90112E7
XMG,52,3.319194E7
XZC,52,2.582727E8
VRC,52,2.165517E7
SEND,52,1279250.0
EDR,52,1597310.0
GAME,52,5.678475E7
HBC,52,1.225882E7
GRC,52,6977700.0
XBY,52,9657680.0
XDN,52,1.0659748E8
XPY,52,1249460.0
SLS,52,3.811619E7
BCH,52,1.256562E10
MUSIC,52,2.24847E7
NEO,52,1.202376E9
HUSH,52,2584840.0
BTX,52,2.54416E7
SC,52,4.35707E8
WAVES,52,3.978801E8
ATB,52,2.40169E7
BCN,52,9.189354E7
BTC,52,9.036606484E10
TX,52,4036000.0
XRP,52,2.763814125E10
XVG,52,3.663201E9
DOGE,52,5.981696E8
GBYTE,52,1.790751E7
BITB,52,2.412409E7
CLAM,52,4890510.0
PINK,52,2755590.0
PIVX,52,5.883678E7
SUMO,52,3834080.0
ZEN,52,3.553351E7
PART,52,1.647278E7
SKY,52,9965720.0
XEM,52,5.430468E8
XVC,52,1417610.0
VTC,52,8.878777E7
KMD,52,1.222719E8
POT,52,8.848602E7
QTUM,52,5.777712E9
EXP,52,4.04652E7
THC,52,5.905597E7
CANN,52,8.863629E7
FCT,52,1.9180506E8
XMR,52,1.15713637E9
RDD,52,4.01329E8
ABY,52,5678690.0
CURE,52,1176050.0
B2X,52,3.891131E7
NAV,52,1.2806184E8
DOPE,52,3.365802E7
BLK,52,8.241686E7
ZOI,52,1012930.0
CPC,52,3.396315E7
LUX,52,6417620.0
XPM,52,7131630.0
CLUB,52,8043770.0
ETP,52,5.691164E7
FRGC,52,8893350.0
MAGE,52,5933540.0
NXS,52,9158190.0
SAGA,52,3159820.0
SYS,52,1.7975392E8
ONION,52,5391380.0
IOP,52,2.578857E7
LSK,52,6.152498E8
XEL,52,2.575061E7
STEEM,52,4.668237E7
NMC,52,3312570.0
SLR,52,4814790.0
ZCL,52,3.3270008E8
ZER,52,1712340.0
HSR,52,1.693364E9
MONA,52,7.096884E7
UNB,52,9.181059E7
EMC2,52,6.495303E7
XSH,52,1540050.0
BURST,52,7.406934E7
FTC,52,1.167733E7
FLO,52,5024360.0
BT2,52,1.343729E7
LMC,51,1.868963E7
XP,51,5490210.0
BCN,51,1.110792E8
ARK,51,1.375094E8
GBYTE,51,3.053493E7
OK,51,4.716529E7
NANO,51,5.787765E7
SC,51,4.500123E8
GAME,51,7.464985E7
IOP,51,3.266183E7
NMC,51,8947390.0
FTC,51,5821780.0
HSR,51,1.22785E9
BTCD,51,9221350.0
DCT,51,2.37791E7
USNBT,51,4.735478E7
BTS,51,6.26916E8
CLUB,51,1.402616E7
XWC,51,1.951923E7
KORE,51,1.385473E7
POT,51,4.365925E7
FRGC,51,1.27412E7
DASH,51,2.96091325E9
MAGE,51,2153080.0
ETH,51,2.471726952E10
XCP,51,1.182262E7
QTUM,51,9.201638E9
ATB,51,2.72427E7
ACT,51,2.165846E7
VIA,51,1.679568E7
NLG,51,7717850.0
XVG,51,3.460483E9
XEM,51,9.532615E8
ARDR,51,2.150604E8
ZEC,51,1.95602766E9
AEON,51,1089080.0
BCD,51,8.598167E7
EXCL,51,1.541262E7
PINK,51,9565560.0
THC,51,6.966248E7
XMR,51,2.06587323E9
EMC,51,9393580.0
BLITZ,51,9916810.0
DYN,51,9940520.0
GXS,51,9.100704E7
BCC,51,1.419767E8
SIB,51,2.187328E7
SYS,51,1.260928E8
B2X,51,1.366676E7
VRC,51,1.534394E7
SYNX,51,1.867945E7
UBTC,51,1166490.0
WC,51,3588820.0
BTC,51,1.190814938E11
ETN,51,1.034237E8
XBY,51,7289280.0
TX,51,8885240.0
SHIFT,51,1.643794E7
DOGE,51,5.8867288E8
PTC,51,1006880.0
RBY,51,1460050.0
CRW,51,1316960.0
XSH,51,5289580.0
START,51,1771400.0
NEO,51,1.863135E9
BAY,51,2.228006E8
DGB,51,7.048695E8
FIL,51,1938240.0
RVR,51,8.643712E7
CMPCO,51,1499980.0
GCR,51,7921380.0
GBG,51,7063420.0
UBQ,51,4.433299E7
WAVES,51,6.091025E8
NXS,51,1.928075E7
SBD,51,3.755584E7
HWC,51,3752430.0
XEL,51,2.375621E7
BTX,51,1.863829E7
FLO,51,1.635467E7
XZC,51,1.3865016E8
DOPE,51,1.676107E7
BRK,51,1569000.0
SBTC,51,1.082754E7
XDN,51,1.128289E8
ETC,51,5.2858729E9
XVC,51,2687180.0
STRAT,51,6.553068E8
NAV,51,1.0068301E8
MIOTA,51,3.952727E9
EBST,51,3813250.0
MONA,51,1.3355534E8
PPC,51,3.881362E7
RISE,51,5.046485E7
ADA,51,1.1861543E9
GRS,51,8.472338E7
RADS,51,1.831953E7
UNB,51,6.451877E7
ATMC,51,3.839529E8
BLOCK,51,1340180.0
XAS,51,4.953881E7
EMC2,51,5.142767E8
BCH,51,3.043916E10
BTG,51,2.738496E9
REC,51,7995350.0
XRP,51,1.437843574E10
EXP,51,2.74778E7
LSK,51,9.027142E8
MUE,51,7934890.0
SLS,51,5.75973E7
BT2,51,1.221094E7
KMD,51,2.411946E8
ZCL,51,8765950.0
NXT,51,2.315421E9
CLAM,51,1.376294E7
ION,51,3027970.0
NEBL,51,1.333017E7
STEEM,51,1.081778E8
TRUST,51,1082320.0
XLM,51,1.2840973E9
FAIR,51,1188120.0
MUSIC,51,1.378036E7
BLK,51,2.491346E7
2GIVE,51,3693050.0
BURST,51,1.4676078E8
CANN,51,5622660.0
OMNI,51,6420640.0
ABY,51,6405880.0
ICOB,51,1086820.0
LTC,51,1.32927946E10
ZEN,51,2.771734E7
RDD,51,6.6448619E8
UNIT,51,1.150128E7
BITB,51,4.688108E7
SPHR,51,1.04557E7
GLD,51,3815910.0
BCX,51,4.566541E7
MEME,51,2.556819E7
GRC,51,4381370.0
NEOS,51,1719910.0
XMY,51,1.930694E7
XTZ,51,1.527269E7
PIVX,51,7.785423E7
CLOAK,51,1.436964E7
PART,51,1.673809E7
LBC,51,7.39733E7
BSD,51,5142740.0
FCT,51,1.655434E8
ETP,51,1.1573303E8
VTC,51,1.790889E8
DCR,51,4.383977E7
PHR,51,1447320.0
NXS,50,2.344729E7
XVG,50,1.02374736E9
MUE,50,1.129711E7
BSD,50,9598900.0
ETN,50,9.17414E7
FIL,50,2137330.0
BAY,50,6.335678E7
LTC,50,2.105588297E10
NMC,50,4588780.0
OK,50,3.680476E7
VTC,50,1.481541E8
XMR,50,1.54918947E9
BTC,50,9.51201291E10
XRP,50,1.620212578E10
MONA,50,1.2095774E8
RVR,50,1.857179E8
STRAT,50,3.368088E8
VRC,50,5.548503E7
BURST,50,1.840038E7
AEON,50,1256090.0
BCX,50,5.03157E7
SC,50,1.3852226E8
WC,50,2386710.0
HWC,50,3618310.0
VIA,50,1.063118E7
ACT,50,1.123448E7
BRK,50,8545350.0
FRGC,50,1.193659E7
UNB,50,1.858658E7
DOPE,50,1695600.0
EBST,50,1.259922E7
XWC,50,1141430.0
XBY,50,9913530.0
LSK,50,4.256159E8
FLO,50,5540930.0
MIOTA,50,3.223578E9
PIVX,50,3.821062E7
NXT,50,6.753348E8
BCH,50,9.720717E9
PPC,50,3.489122E7
SBD,50,1.356985E7
CLOAK,50,1736470.0
GXS,50,8.305206E7
ZEN,50,1.650028E7
FAIR,50,2878780.0
NANO,50,4.075155E7
OMNI,50,1024200.0
FTC,50,4135140.0
XAS,50,9647380.0
ZEC,50,1.671067E9
BRX,50,1725520.0
DGB,50,2.8412115E8
FCT,50,1.325547E8
KMD,50,7.697776E7
ETP,50,7.874656E7
GOLOS,50,3161280.0
ADA,50,1.8869587E9
DASH,50,1.94062961E9
FRST,50,2982370.0
REC,50,1.465549E7
GAME,50,4.059568E7
BCD,50,7.481975E7
ATMC,50,2.538977E8
PART,50,2797530.0
ZCL,50,1.999832E7
RISE,50,6.509092E7
EMC2,50,3.776412E8
BTX,50,2.125363E7
POT,50,5.832814E7
THC,50,1.831102E7
BLITZ,50,1224800.0
CLAM,50,2080600.0
IOP,50,5.191434E7
BLK,50,8585280.0
NEO,50,1.6873538E9
BTM,50,2572170.0
BCC,50,1.89576E8
ABY,50,1091380.0
PHR,50,3985510.0
SHIFT,50,4499790.0
DCR,50,3.451844E7
ION,50,6766900.0
XEM,50,5.73468E8
XBC,50,1157750.0
BYC,50,2322850.0
LBC,50,3.458923E7
RADS,50,1.110443E7
BT2,50,1583560.0
BTG,50,1.593935E9
ETC,50,4.68082702E9
BITB,50,2229680.0
ZNY,50,1033580.0
SPHR,50,1195920.0
PASC,50,2131760.0
SPR,50,2243260.0
DYN,50,1030830.0
USNBT,50,1.565568E7
XTZ,50,3035850.0
XCP,50,7353090.0
BCN,50,5.839822E7
MEME,50,2.3333452E8
UBQ,50,2.619029E7
UNIT,50,7538460.0
GCR,50,2.908451E7
MUSIC,50,5363090.0
TX,50,5206290.0
GRS,50,3.175471E7
ATB,50,2.752914E7
XDN,50,7.946973E7
DCT,50,9068770.0
CLUB,50,1.084625E7
XEL,50,5.241929E7
ARK,50,9.476758E7
QTUM,50,3.639517E9
SEQ,50,1458690.0
WAVES,50,5.380307E8
AUR,50,1027560.0
STEEM,50,3.553569E7
ETH,50,2.242425504E10
GBYTE,50,5.135405E7
EFL,50,1529690.0
LMC,50,3098270.0
SBTC,50,1.671831E7
DOGE,50,3.3563684E8
NEOS,50,5303840.0
XLM,50,1.56115639E9
